"STAID","SOUID","DATE","RR","Q_RR"
1387,17384,20170601,-9999,9
1387,17384,20170701,-9999,9
1387,17384,20170801,-9999,9
1387,17384,20170901,-9999,9
1387,17384,20171001,-9999,9
1388,20440,20170101,0,0
1388,20440,20170201,1,0
1388,20440,20170301,0,0
1388,20440,20170401,0,0
1388,20440,20170501,0,0
1388,20440,20170601,0,0
1388,20440,20170701,0,0
1388,20440,20170801,0,0
1388,20440,20170901,0,0
1388,20440,20171001,0,0
1389,20314,20170101,0,0
1389,20314,20170201,0,0
1389,20314,20170301,0,0
1389,20314,20170401,0,0
1389,20314,20170501,0,0
1389,20314,20170601,0,0
1389,20314,20170701,0,0
1389,20314,20170801,0,0
1389,20314,20170901,0,0
1389,20314,20171001,0,0
1392,19981,20170101,0,0
1392,19981,20170201,3,0
1392,19981,20170301,0,0
1392,19981,20170401,41,0
1392,19981,20170501,1,0
1392,19981,20170601,5,0
1392,19981,20170701,6,0
1392,19981,20170801,0,0
1392,19981,20170901,56,0
1392,19981,20171001,48,0
1393,20611,20170101,0,0
1393,20611,20170201,5,0
1393,20611,20170301,0,0
1393,20611,20170401,161,0
1393,20611,20170501,2,0
1393,20611,20170601,24,0
1393,20611,20170701,105,0
1393,20611,20170801,0,0
1393,20611,20170901,37,0
1393,20611,20171001,33,0
