"STAID","SOUID","DATE","DD","Q_DD"
5054,33754,20170901,232,0
5054,33754,20171001,215,0
5056,33778,20170101,319,0
5056,33778,20170201,152,0
5056,33778,20170301,98,0
5056,33778,20170401,106,0
5056,33778,20170501,274,0
5056,33778,20170601,341,0
5056,33778,20170701,245,0
5056,33778,20170801,214,0
5056,33778,20170901,240,0
5056,33778,20171001,146,0
5060,33826,20170101,4,0
5060,33826,20170201,126,0
5060,33826,20170301,39,0
5060,33826,20170401,341,0
5060,33826,20170501,242,0
5060,33826,20170601,29,0
5060,33826,20170701,216,0
5060,33826,20170801,137,0
5060,33826,20170901,336,0
5060,33826,20171001,139,0
5065,33886,20170101,6,0
5065,33886,20170201,121,0
5065,33886,20170301,44,0
5065,33886,20170401,39,0
5065,33886,20170501,293,0
5065,33886,20170601,359,0
5065,33886,20170701,192,0
5065,33886,20170801,127,0
5065,33886,20170901,261,0
5065,33886,20171001,170,0
5066,33898,20170101,291,0
5066,33898,20170201,134,0
5066,33898,20170301,66,0
5066,33898,20170401,7,0
5066,33898,20170501,255,0
5066,33898,20170601,26,0
5066,33898,20170701,185,0
5066,33898,20170801,194,0
5066,33898,20170901,215,0
5066,33898,20171001,145,0
5067,33910,20170101,-9999,9
5067,33910,20170201,-9999,9
5067,33910,20170301,-9999,9
5067,33910,20170401,-9999,9
5067,33910,20170501,-9999,9
5067,33910,20170601,-9999,9
5067,33910,20170701,-9999,9
5067,33910,20170801,-9999,9
5067,33910,20170901,-9999,9
5067,33910,20171001,-9999,9
5069,33934,20170101,-9999,9
5069,33934,20170201,-9999,9
5069,33934,20170301,-9999,9
5069,33934,20170401,-9999,9
5069,33934,20170501,-9999,9
5069,33934,20170601,-9999,9
5069,33934,20170701,-9999,9
5069,33934,20170801,-9999,9
5069,33934,20170901,-9999,9
5069,33934,20171001,-9999,9
5070,33946,20170101,75,0
5070,33946,20170201,47,0
5070,33946,20170301,48,0
5070,33946,20170401,27,0
5070,901194,20170501,-9999,9
5070,901194,20170601,-9999,9
5070,33946,20170701,-9999,9
5070,33946,20170801,-9999,9
5070,33946,20170901,-9999,9
5070,33946,20171001,-9999,9
5071,33958,20170101,356,0
5071,33958,20170201,53,0
5071,33958,20170301,66,0
5071,33958,20170401,20,0
5071,33958,20170501,278,0
5071,33958,20170601,18,0
5071,14638,20170701,149,0
5071,33958,20170801,216,0
5071,33958,20170901,178,0
5071,33958,20171001,106,0
5073,33982,20170101,348,0
5073,33982,20170201,141,0
5073,33982,20170301,62,0
5073,33982,20170401,29,0
5073,33982,20170501,-9999,9
5073,33982,20170601,16,0
5073,33982,20170701,26,0
5073,33982,20170801,114,0
5073,33982,20170901,152,0
5073,33982,20171001,63,0
5074,33994,20170101,135,0
5074,33994,20170201,91,0
5074,33994,20170301,-9999,9
5074,33994,20170401,92,0
5074,33994,20170501,-9999,9
5074,33994,20170601,328,0
5074,33994,20170701,357,0
5074,33994,20170801,123,0
5074,33994,20170901,267,0
5074,33994,20171001,-9999,9
5078,34042,20170101,264,0
5078,34042,20170201,112,0
5078,34042,20170301,77,0
5078,34042,20170401,72,0
5078,34042,20170501,238,0
5078,34042,20170601,291,0
5078,34042,20170701,275,0
5078,34042,20170801,38,0
5078,34042,20170901,273,0
5078,34042,20171001,121,0
5083,34102,20170101,-9999,9
5083,34102,20170201,-9999,9
5083,34102,20170301,-9999,9
5083,34102,20170401,78,0
5083,34102,20170501,291,0
5083,34102,20170601,341,0
5083,34102,20170701,262,0
5083,34102,20170801,-9999,9
5083,34102,20170901,-9999,9
5083,34102,20171001,-9999,9
5085,34126,20170101,331,0
5085,34126,20170201,140,0
5085,34126,20170301,162,0
5085,34126,20170401,178,0
5085,34126,20170501,211,0
5085,34126,20170601,288,0
